0,1,2,3,charge,epsilon,sigema
Co,7.3562,9.05819,3.25519,1.019811,7.045066093,2.558661118
Co,5.99073,3.95161,9.78466,1.025431,7.045066093,2.558661118
Co,10.8547,3.91219,9.82731,1.018569,7.045066093,2.558661118
Co,12.2986,9.09761,3.29784,1.025348,7.045066093,2.558661118
H,9.70741,7.89705,1.64578,0.065572,22.14163629,2.571133701
H,15.0466,6.58482,12.8653,0.106371,22.14163629,2.571133701
H,11.0445,6.32546,12.24,0.11225,22.14163629,2.571133701
H,5.83734,7.63666,1.05707,0.063131,22.14163629,2.571133701
H,7.49369,5.05028,7.35498,0.071017,22.14163629,2.571133701
H,7.15166,6.29767,5.43185,0.121054,22.14163629,2.571133701
H,13.0273,6.55497,6.40258,0.114035,22.14163629,2.571133701
H,13.4826,5.25921,8.28907,0.070471,22.14163629,2.571133701
H,3.92067,1.71773,4.03464,0.089344,22.14163629,2.571133701
H,3.57026,3.04952,5.90283,0.119234,22.14163629,2.571133701
H,6.96455,10.1139,8.23674,0.131161,22.14163629,2.571133701
H,7.18233,8.83156,6.33978,0.067164,22.14163629,2.571133701
H,15.7122,4.1837,12.902,0.067786,22.14163629,2.571133701
H,11.06,2.9044,1.73474,0.134633,22.14163629,2.571133701
H,10.0857,10.0882,12.4624,0.125058,22.14163629,2.571133701
H,6.79345,1.10536,10.6125,0.08621,22.14163629,2.571133701
H,13.2059,2.75105,11.4367,0.064855,22.14163629,2.571133701
H,8.73895,1.43882,0.21717,0.107263,22.14163629,2.571133701
H,4.73677,1.17946,0.842513,0.111394,22.14163629,2.571133701
H,9.33583,2.49066,12.0254,0.063785,22.14163629,2.571133701
H,13.8015,10.1963,5.72752,0.070954,22.14163629,2.571133701
H,10.6502,1.15167,7.65065,0.118542,22.14163629,2.571133701
H,6.71945,1.40897,6.67993,0.112053,22.14163629,2.571133701
H,7.17482,0.113212,4.79343,0.070814,22.14163629,2.571133701
H,10.2284,6.86373,9.04786,0.088564,22.14163629,2.571133701
H,9.87806,8.19552,7.17968,0.119536,22.14163629,2.571133701
H,10.4632,4.96795,4.84576,0.131939,22.14163629,2.571133701
H,10.6809,3.68556,6.74272,0.068106,22.14163629,2.571133701
H,12.2137,9.32969,0.180539,0.067543,22.14163629,2.571133701
H,7.56137,8.0504,11.3478,0.134354,22.14163629,2.571133701
H,3.77803,4.94222,0.620111,0.12463,22.14163629,2.571133701
H,3.29493,6.25136,2.46998,0.085311,22.14163629,2.571133701
C,8.97618,7.5677,1.13765,0.156775,52.8379957,3.430850964
C,9.24769,6.79478,0.0185772,-0.155452,52.8379957,3.430850964
C,13.0869,6.33164,12.3276,-0.038626,52.8379957,3.430850964
C,11.795,6.63937,12.7322,-0.145553,52.8379957,3.430850964
C,6.72158,7.41641,0.789921,0.151452,52.8379957,3.430850964
C,13.3438,5.49078,11.0913,0.664157,52.8379957,3.430850964
C,6.61876,5.36213,7.15901,0.156873,52.8379957,3.430850964
C,6.42472,6.11345,6.01429,-0.150817,52.8379957,3.430850964
C,5.16649,6.59099,5.72883,-0.041703,52.8379957,3.430850964
C,13.9129,6.26062,6.58416,-0.153475,52.8379957,3.430850964
C,4.39027,5.48975,7.70533,0.149918,52.8379957,3.430850964
C,4.90516,7.47302,4.52655,0.659528,52.8379957,3.430850964
C,3.95106,1.32252,4.89678,0.165743,52.8379957,3.430850964
C,3.74765,2.12221,6.00775,-0.180208,52.8379957,3.430850964
C,3.803,1.56335,7.27623,0.025186,52.8379957,3.430850964
C,4.07451,0.226424,7.38089,-0.177224,52.8379957,3.430850964
C,7.04025,9.76607,6.24585,0.165406,52.8379957,3.430850964
C,13.3477,2.40112,8.51148,0.662658,52.8379957,3.430850964
C,6.15603,3.27183,12.8099,0.162086,52.8379957,3.430850964
C,1.42513,2.51948,0.884115,-0.180813,52.8379957,3.430850964
C,1.8523,1.19593,0.78495,0.015622,52.8379957,3.430850964
C,6.96096,0.684418,12.5793,-0.184399,52.8379957,3.430850964
C,6.70125,1.48616,11.4781,0.16543,52.8379957,3.430850964
C,2.09711,0.332431,1.99116,0.655658,52.8379957,3.430850964
C,12.4747,2.42171,11.9448,0.160479,52.8379957,3.430850964
C,12.7462,1.64878,13.0639,-0.158747,52.8379957,3.430850964
C,6.77917,1.18564,0.75486,-0.033842,52.8379957,3.430850964
C,5.48733,1.49337,0.350349,-0.146235,52.8379957,3.430850964
C,10.2201,2.27041,12.2926,0.151393,52.8379957,3.430850964
C,7.03604,0.344782,1.99116,0.660089,52.8379957,3.430850964
C,10.1174,0.216132,5.9235,0.155485,52.8379957,3.430850964
C,9.9233,0.967448,7.06821,-0.148201,52.8379957,3.430850964
C,8.66506,1.445,7.35367,-0.042647,52.8379957,3.430850964
C,7.60504,1.11462,6.49834,-0.150764,52.8379957,3.430850964
C,7.88888,0.343753,5.37717,0.147473,52.8379957,3.430850964
C,8.40371,2.32702,8.55596,0.658882,52.8379957,3.430850964
C,10.2588,6.46852,8.18572,0.167066,52.8379957,3.430850964
C,10.0555,7.26821,7.07476,-0.180539,52.8379957,3.430850964
C,10.1108,6.70935,5.80628,0.026136,52.8379957,3.430850964
C,10.3823,5.37242,5.70162,-0.178395,52.8379957,3.430850964
C,10.5388,4.62008,6.83665,0.165373,52.8379957,3.430850964
C,9.84918,7.54712,4.57103,0.661034,52.8379957,3.430850964
C,2.65755,8.41782,0.272639,0.162577,52.8379957,3.430850964
C,7.73283,7.66548,12.1984,-0.181557,52.8379957,3.430850964
C,8.16,6.34193,12.2976,0.014575,52.8379957,3.430850964
C,3.46248,5.83042,0.503153,-0.182105,52.8379957,3.430850964
C,3.20276,6.63216,1.60444,0.166766,52.8379957,3.430850964
C,8.40483,5.47843,11.0913,0.660895,52.8379957,3.430850964
N,7.74667,7.87029,1.5317,-0.331091,34.72211146,3.260689308
N,5.62136,5.05646,8.00309,-0.337702,34.72211146,3.260689308
N,7.00239,10.2848,5.00039,-0.358255,34.72211146,3.260689308
N,6.32198,2.78398,11.5699,-0.35123,34.72211146,3.260689308
