No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1,0.47725,6.0027,5.74816,837.66699,0.97003,-4.166046667,-6.38158,0.232759241,0.200464961,20354.66292,40064.49789,0.286878014,0.516170459,7.197072394
2,0.76503,19.719,19.51272,2413.69995,0.4577,-2.375576667,-3.79877,0.21020997,0.154804363,9548.854651,18611.19476,0.241568324,0.178604762,2.957420223
3,0.74762,16.86472,16.31454,2502.93994,0.48611,-2.619416667,-4.17451,0.212798785,0.159131152,7836.859001,15476.12378,0.2500622,0.202112128,3.23298969
4,0.70369,13.63704,13.20257,2262.16992,0.56827,-2.81749,-4.450393333,0.213425885,0.164715165,14429.75067,28176.70787,0.248135607,0.22992062,3.706370441
5,0.55906,8.24978,7.29541,1463.32996,0.82722,-3.758083333,-5.960256667,0.248477896,0.20607772,11000.05767,21881.05035,0.461344796,0.740886424,6.423711126
6,0.61788,12.33636,11.95867,1192.13,0.97119,-2.724113333,-4.20035,0.1883541,0.144575637,20736.77235,39646.0324,0.15354819,0.133575469,3.479701552
7,0.54992,9.9715,9.76591,1374.06995,0.83347,-3.980936667,-6.375146667,0.251804916,0.210295404,9784.58331,19431.60022,0.452793763,0.767185278,6.777348466
9,0.83921,16.46047,13.64478,5816.83984,0.33156,-2.851343333,-4.44383,0.242426743,0.176114675,3023.192891,6241.155547,0.454831053,0.329886078,2.901174628
10,0.83789,11.50422,7.64416,7795.7002,0.30788,-1.85391,-2.650026667,0.234228606,0.159797476,4714.491703,9057.940213,0.391573762,0.213429086,2.180218458
11,0.75824,6.32614,5.7532,7445.02002,0.46182,-3.23076,-4.847543333,0.271860722,0.208701463,3592.379789,7210.051293,0.778347725,0.815144955,4.189104323
12,0.67864,7.67734,4.72002,2326.67993,0.61576,-4.042806667,-5.478076667,0.256151371,0.195601743,8152.579211,16458.47582,0.573502328,0.561188734,3.91411652
13,0.59478,5.87881,5.64925,1367.06006,0.7697,-3.9143,-5.9202,0.255406868,0.215296012,12798.05128,25143.38631,0.451926445,0.794090623,7.028494403
14,0.87184,14.32155,12.10114,5205.54004,0.317,-2.490986667,-3.769523333,0.252387094,0.179089351,4.082597236,172.2693174,0.559820693,0.370331708,2.646073732
15,0.71748,7.53693,6.98122,3176.15991,0.50351,-3.61236,-5.99003,0.248321365,0.196072874,4720.90618,9805.845299,0.458899057,0.508836581,4.435281128
16,0.57458,7.85886,7.73396,1465.04004,0.72294,-2.86917,-4.34182,0.198709239,0.154728152,23075.73984,44789.4599,0.190188618,0.181699586,3.821460776
17,0.61103,10.00281,9.94781,1770.72998,0.66521,-2.733796667,-4.13051,0.194365183,0.146989073,23253.83169,45095.26105,0.173417605,0.143957822,3.320489221
18,0.60387,7.06143,6.35265,1937.55005,0.76611,-3.475336667,-5.30732,0.237143432,0.191049068,10394.74612,20602.55923,0.384354686,0.49260335,5.126549698
19,0.83932,16.30857,13.66038,6104.91992,0.31175,-2.925486667,-4.65383,0.246159571,0.179841659,4703.012056,9439.16182,0.480226035,0.358924299,2.98962799
20,0.8534,13.46817,12.29168,7309.81006,0.27981,-2.25965,-3.194836667,0.240998333,0.164715165,294.8980852,757.8601679,0.448973418,0.242739168,2.162615054
21,0.4734,5.96864,4.40763,439.423,0.95464,-5.156023333,-8.141613333,0.264837966,0.236252784,23782.85292,46617.78164,0.371256506,0.894284987,9.635224933
22,0.70995,13.32286,12.85827,2523.90991,0.55993,-3.354266667,-5.30713,0.226776511,0.178320508,16232.97443,31589.84022,0.328586493,0.345959989,4.211493724
23,0.68602,17.19806,17.06829,1829.93005,0.66539,-2.571766667,-3.909306667,0.233708699,0.17170874,7315.761614,14472.70695,0.382379214,0.294496317,3.080672867
24,0.65955,16.34591,16.23343,1972.02002,0.61686,-1.35762,-1.997056667,0.235151236,0.150944918,4799.351069,9409.652425,0.393967489,0.162785931,1.652785429
25,0.71518,13.92338,13.56517,2207.56006,0.57798,-1.460713333,-2.1468,0.243385981,0.156001689,2696.333899,5343.135706,0.472009599,0.191334571,1.621446444
26,0.64283,7.93723,6.30676,2449.46997,0.72341,-1.334596667,-2.032973333,0.247291979,0.156837637,1968.153774,3914.592296,0.511877498,0.199215877,1.556746509
27,0.70036,15.20734,15.00043,2146.33008,0.58391,-3.166426667,-4.901496667,0.217611328,0.16851528,18160.09871,34922.51653,0.271930429,0.255636111,3.760316368
28,0.70656,18.53359,18.07182,1962.89001,0.56986,-2.566613333,-4.070436667,0.207130573,0.155854245,17785.08675,34190.60412,0.222321163,0.181988156,3.274328975
29,0.6252,10.44935,9.97186,1846.77002,0.74957,-3.075623333,-4.527243333,0.222400357,0.17217516,14066.34765,27046.72986,0.306367885,0.302825944,3.953755716
30,0.59067,9.76614,9.29842,1564.19995,0.83457,-3.339073333,-5.030386667,0.230360772,0.182698833,1196.289508,2731.843362,0.349847267,0.39979019,4.571025453
31,0.76208,29.29451,29.11056,1901.73999,0.48003,-2.185926667,-3.41452,0.201543133,0.142904587,14960.13239,28880.57515,0.202705092,0.128910544,2.543804739
32,0.71935,32.25806,32.1037,1315.5,0.58829,-6.93525,-10.4668,0.292291468,0.27437278,10292.84647,20566.14603,0.274203404,0.553759267,8.078080122
33,0.78502,29.86297,29.68302,2073.33008,0.43188,-1.89207,-3.049243333,0.19912389,0.14018031,13607.25106,26273.90762,0.195508867,0.118794012,2.430457799
34,0.75037,12.33825,12.07344,3341.40991,0.50069,-2.744853333,-3.875573333,0.205880733,0.143540622,973.1050674,2520.035267,0.221932303,0.131687294,2.373467797
35,0.57709,10.5607,10.15971,1313.73999,0.94202,-3.13341,-4.650183333,0.208350396,0.163251314,-185.0833856,-262.4564293,0.231922996,0.230090051,3.968387012
36,0.82388,31.93576,31.68053,2453.84009,0.37058,-2.298366667,-3.60212,0.208004854,0.146121732,22377.53566,42792.66236,0.233335454,0.141544918,2.426462251
37,0.55798,11.54437,11.36215,1136.53003,0.94256,-3.22606,-4.88836,0.208004854,0.164427255,3520.845471,7021.169757,0.224687276,0.233608266,4.158816123
