No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1,0.6458,10.85017,3.77263,1924.4,0.884188,-5.124536667,-7.567116667,0.296102843,0.252774546,5834.209414,12073.51697,0.858765316,1.854506545,8.638013252
3,0.6636,11.39486,4.3226,1505.31,0.949126,-4.741453333,-7.510166667,0.24940709,0.21549802,2187.905886,5166.54172,0.338790642,0.532019896,6.281400134
4,0.6638,11.27344,4.5108,1494.4,0.979267,-4.733956667,-7.477226667,0.250545177,0.215964885,361.2006437,1790.304032,0.344322955,0.538824356,6.259522906
5,0.4118,4.93969,3.32948,269.806,1.55108,-7.063866667,-10.62103333,0.316288603,0.302273316,21506.43025,41950.69796,0.194505219,1.534673486,31.56056159
8,0.7302,9.47418,7.83744,3810.89,0.597233,-2.912623333,-4.304896667,0.24672893,0.185813949,6890.01171,13722.86282,0.49273473,0.448220338,3.638634021
9,0.4272,4.35567,3.3888,237.685,1.89715,-4.152763333,-6.48242,0.165939781,0.145481669,15832.32264,31380.96408,0.089881084,0.122282892,5.441985635
10,0.753,18.8079,13.71867,2447.09,0.674371,-4.70266,-6.498,0.251289978,0.203431224,8157.168005,16393.45614,0.453061681,0.579313912,5.114658214
11,0.4178,4.27704,3.44359,219.474,1.92553,-4.172866667,-6.156873333,0.162236518,0.138522696,15411.80632,30630.73023,0.082523829,0.103306197,5.007339008
12,0.4454,4.23118,3.39335,202.028,1.95197,-4.428983333,-6.599826667,0.17365628,0.15034474,15036.00437,29895.20275,0.09986952,0.139081241,5.570518052
13,0.4264,4.19938,3.32185,170.668,1.98907,-4.48183,-6.686816667,0.17598824,0.152967979,14512.57967,28895.45043,0.103952722,0.147964622,5.693535259
14,0.409,4.13217,3.42102,210.796,2.04932,-4.35683,-6.198283333,0.161375574,0.131123771,14918.14267,29642.66782,0.083138315,0.085977993,4.136624275
15,0.4046,4.10698,3.3714,164.054,2.07329,-4.33086,-6.089426667,0.154406512,0.126141008,14495.93246,28856.06479,0.074493077,0.074853607,4.019359114
16,0.3984,4.08888,3.34226,140.621,2.11451,-4.284296667,-6.228563333,0.150955381,0.122884617,16767.48982,33194.40297,0.06838512,0.067653478,3.957204608
17,0.536,5.73439,3.88117,635.672,2.09588,-2.355483333,-3.831203333,0.128293115,0.102493506,8806.533069,17236.65394,0.047435822,0.040314591,3.399506053
