No,VF,LCD,PLD,ASA,Density,Kr_free-energy,Xe_free-energy,Kr_Henry,Xe_Henry,Kr_voro,Xe_voro,Adsorption_Kr,Adsorption_Xe,Selectivity
1,0.441469364,0.023559639,0.031525133,0.078980098,0.236527781,0.824426395,0.820708596,0.232759241,0.200464961,0.404065533,0.398342572,0.286878014,0.516170459,7.197072394
2,0.755352583,0.188859383,0.19880394,0.234128465,0.108482225,0.909175823,0.904260994,0.21020997,0.154804363,0.207146487,0.1938764,0.241568324,0.178604762,2.957420223
3,0.7363634,0.154461495,0.159936897,0.242913458,0.115582677,0.897633993,0.892106024,0.212798785,0.159131152,0.175948029,0.163996807,0.2500622,0.202112128,3.23298969
4,0.688448709,0.115563638,0.122117554,0.219211494,0.136116752,0.888258465,0.883181359,0.213425885,0.164715165,0.296093224,0.28504296,0.248135607,0.22992062,3.706370441
5,0.530699978,0.050639956,0.05032865,0.140571823,0.200835579,0.843736777,0.83433816,0.248477896,0.20607772,0.233592404,0.225040592,0.461344796,0.740886424,6.423711126
6,0.594855273,0.099888706,0.107000608,0.113874265,0.236817697,0.89267832,0.891270115,0.1883541,0.144575637,0.411028883,0.39435428,0.15354819,0.133575469,3.479701552
7,0.52073093,0.071388983,0.080352297,0.131784859,0.202397628,0.833188322,0.82091671,0.251804916,0.210295404,0.211442275,0.201695483,0.452793763,0.767185278,6.777348466
9,0.836261114,0.149589742,0.127491671,0.569141505,0.076956321,0.886656064,0.883393679,0.242426743,0.176114675,0.088226453,0.075980589,0.454831053,0.329886078,2.901174628
10,0.834821383,0.089860307,0.054566961,0.763945142,0.071038029,0.933868195,0.941422171,0.234228606,0.159797476,0.119047743,0.102826673,0.391573762,0.213429086,2.180218458
11,0.747946692,0.027457524,0.031586384,0.729423366,0.109511928,0.868696899,0.870333788,0.271860722,0.208701463,0.098598999,0.085214897,0.778347725,0.815144955,4.189104323
12,0.661126537,0.043741289,0.019030289,0.22556201,0.147985827,0.83025979,0.849936402,0.256151371,0.195601743,0.181701539,0.173359363,0.573502328,0.561188734,3.91411652
13,0.569659977,0.022066599,0.030323094,0.131094789,0.186459727,0.836342476,0.83563397,0.255406868,0.215296012,0.266358041,0.256133116,0.451926445,0.794090623,7.028494403
14,0.871850833,0.123812898,0.108732026,0.508963725,0.073317371,0.90371305,0.905207107,0.252387094,0.179089351,0.033207864,0.018139522,0.559820693,0.370331708,2.646073732
15,0.703489538,0.042049161,0.046510342,0.309186804,0.119931422,0.85063439,0.83337501,0.248321365,0.196072874,0.119164636,0.109954773,0.458899057,0.508836581,4.435281128
16,0.547627727,0.045928848,0.055658288,0.140740167,0.174773099,0.885812263,0.886693643,0.198709239,0.154728152,0.453652927,0.443375026,0.190188618,0.181699586,3.821460776
17,0.587383941,0.07176631,0.082562903,0.170832999,0.160344762,0.892219973,0.893529398,0.194365183,0.146989073,0.456898374,0.446289542,0.173417605,0.143957822,3.320489221
18,0.57957449,0.036318751,0.038871417,0.187255156,0.185562486,0.8571202,0.855460281,0.237143432,0.191049068,0.222561543,0.212855606,0.384354686,0.49260335,5.126549698
19,0.836381092,0.147759144,0.127681256,0.597500781,0.07200525,0.883146591,0.876600301,0.246159571,0.179841659,0.118838544,0.106460002,0.480226035,0.358924299,2.98962799
20,0.851738225,0.113528529,0.111047633,0.716112982,0.064022553,0.914663052,0.923797885,0.240998333,0.164715165,0.038507524,0.023720645,0.448973418,0.242739168,2.162615054
21,0.437270147,0.023149171,0.015233856,0.03977603,0.232681391,0.777567215,0.763772543,0.264837966,0.236252784,0.466538963,0.460800312,0.371256506,0.894284987,9.635224933
22,0.695276525,0.111777349,0.117933323,0.24497779,0.134032353,0.862850882,0.855466427,0.226776511,0.178320508,0.328954172,0.317572687,0.328586493,0.345959989,4.211493724
23,0.669175944,0.158478688,0.169097118,0.176660792,0.160389749,0.89988944,0.900685197,0.233708699,0.17170874,0.16645184,0.154433487,0.382379214,0.294496317,3.080672867
24,0.64030497,0.148209141,0.158951179,0.19064846,0.148260748,0.957359397,0.96254537,0.235151236,0.150944918,0.120594173,0.106178756,0.393967489,0.162785931,1.652785429
25,0.700980915,0.119014418,0.126524182,0.213835572,0.138543552,0.952479617,0.957701261,0.243385981,0.156001689,0.082269956,0.067421782,0.472009599,0.191334571,1.621446444
26,0.622068375,0.046873311,0.038313722,0.237649749,0.174890565,0.958449175,0.961383487,0.247291979,0.156837637,0.069000006,0.053806685,0.511877498,0.199215877,1.556746509
27,0.68481666,0.134487851,0.143966699,0.20780795,0.140025624,0.871742029,0.868588429,0.217611328,0.16851528,0.364073014,0.349335608,0.271930429,0.255636111,3.760316368
28,0.691579034,0.174573609,0.18129288,0.189749681,0.136514137,0.900133366,0.895472736,0.207130573,0.155854245,0.357239005,0.34235993,0.222321163,0.181988156,3.274328975
29,0.602839237,0.077147714,0.082855179,0.178318558,0.181428678,0.876040079,0.880695306,0.222400357,0.17217516,0.289470769,0.274273416,0.306367885,0.302825944,3.953755716
